@RELATION IrisGeometicFeatures_TestingSet

@ATTRIBUTE 1	REAL
@ATTRIBUTE 2	REAL
@ATTRIBUTE 3	REAL
@ATTRIBUTE 4	REAL
@ATTRIBUTE 5	REAL
@ATTRIBUTE class	{1,2,3}

@DATA
0,5,5,43005.2618,4.3333,2
5,5,0,38013.2711,4.7826,2
3,3,0,43005.2618,3.9,2
5,0,5,45238.9342,3.75,2
5,0,5,45238.9342,4.2857,2
5,2,3,40114.9966,4.1852,2
2,5,3,40114.9966,3.2286,2
2,5,3,43005.2618,3.0789,2
0,5,5,40114.9966,2.9737,2
3,5,2,39408.1382,3.027,2
3,2,1,43743.5361,2.7442,2
0,2,2,34636.059,3,2
7,2,5,36643.5367,3.2727,2
7,0,7,34636.059,2.8378,2
0,7,7,45238.9342,2.4,2
2,5,3,45238.9342,2.1053,2
2,5,3,43005.2618,1.95,2
0,5,5,43743.5361,2.0345,2
2,3,1,43005.2618,2.0172,2
3,2,1,40114.9966,1.7937,2
3,2,1,45238.9342,1.9048,2
2,2,0,40114.9966,1.8833,2
7,8,1,34636.059,3.2813,2
5,7,2,35968.0943,3.5667,2
3,7,4,39408.1382,3.2,2
3,7,4,40114.9966,2.6905,2
7,3,4,38013.2711,3.4375,2
7,5,2,35968.0943,3.0571,2
8,3,5,38013.2711,2.619,2
7,3,4,35968.0943,2.8158,2
3,10,7,43743.5361,2.2692,2
5,6,1,43743.5361,2.2692,2
5,8,3,39408.1382,2.24,2
5,7,2,40114.9966,2.26,2
7,5,2,41547.5628,2.3,2
8,5,3,40114.9966,2.4043,2
7,7,0,43743.5361,2.36,2
7,5,2,46759.4651,2.3462,2
2,3,1,41547.5628,3.5938,2
2,3,1,41547.5628,3.4848,2
3,3,0,36643.5367,2.7,2
2,3,1,36643.5367,2.8421,2
5,0,5,36643.5367,3.6,2
5,0,5,38013.2711,3.9286,2
3,2,1,35968.0943,2.8919,2
5,0,5,35968.0943,3.0571,2
0,5,5,36643.5367,2.5714,2
0,5,5,38013.2711,2.5581,2
0,3,3,36643.5367,2.8421,2
3,5,2,39408.1382,3.2,2
0,3,3,35968.0943,2.2292,2
0,3,3,34636.059,2.3333,2
2,3,1,33329.1565,2.7838,2
3,2,1,34636.059,3.2813,2
7,2,5,40114.9966,2.1321,2
3,3,0,39408.1382,2.24,2
2,3,1,36643.5367,2.2979,2
3,0,3,36643.5367,2.4,2
1,4,3,40114.9966,2.0545,2
7,0,7,38013.2711,2.0755,2
5,2,3,38013.2711,2.2917,2
3,2,1,40114.9966,2.3542,2
2,3,1,36643.5367,2.25,2
3,3,0,38013.2711,2.4444,2
3,5,2,39408.1382,3.3939,2
2,5,3,39408.1382,3.2,2
2,0,2,38013.2711,2.0755,2
5,0,5,36643.5367,2.4,2
3,0,3,39408.1382,2.8,2
5,2,3,38013.2711,3.1429,2
5,7,2,45238.9342,3,2
5,5,0,41547.5628,3.1081,2
5,5,0,41547.5628,2.875,2
5,7,2,40114.9966,2.825,2
7,3,4,39408.1382,3.2,2
3,3,0,38013.2711,3.1429,2
8,3,5,38013.2711,2.8947,2
2,3,1,40114.9966,2.6279,2
3,7,4,49087.3852,2.1552,2
3,7,4,39408.1382,2.1132,2
10,10,0,38013.2711,1.9298,2
7,9,2,40114.9966,2.3542,2
3,5,2,36643.5367,2.0377,2
5,5,0,36643.5367,2.0377,2
7,5,2,36643.5367,2.0377,2
5,5,0,36643.5367,2.16,2
3,5,2,39408.1382,3.2,2
0,5,5,40114.9966,3.2286,2
3,3,0,39408.1382,3.027,2
3,3,0,39408.1382,3.2,2
5,2,3,39408.1382,3.027,2
3,2,1,40114.9966,2.9737,2
5,0,5,35968.0943,3.0571,2
5,0,5,36643.5367,3.2727,2
2,5,3,49087.3852,2.9762,2
0,5,5,47529.1553,2.8605,2
2,5,3,49087.3852,2.0833,2
0,7,7,43743.5361,2.1455,2
3,3,0,45238.9342,2.2642,2
2,3,1,43743.5361,2.5106,2
3,5,2,46759.4651,2.1034,2
0,7,7,46759.4651,2.0333,2
2,8,6,43743.5361,3.3714,2
0,5,5,43743.5361,2.7442,2
0,5,5,43743.5361,2.6222,2
0,8,8,39408.1382,3.3939,2
7,2,5,43743.5361,2.8095,2
3,2,1,43005.2618,2.4375,2
2,3,1,40114.9966,2.6905,2
7,2,5,38013.2711,3.1429,2
3,2,1,38013.2711,2.4444,2
5,3,2,36643.5367,2.7,2
0,0,0,41547.5628,2.2115,2
5,3,2,40114.9966,2.26,2
5,0,5,38013.2711,2.8947,2
3,2,1,36643.5367,2.5116,2
2,0,2,38013.2711,2.0755,2
2,2,0,36643.5367,2.0377,2
3,8,5,38013.2711,2.1154,2
2,5,3,35968.0943,2.2766,2
3,8,5,36643.5367,2.5116,2
5,5,0,35968.0943,2.4884,2
3,3,0,34636.059,3,2
2,5,3,34636.059,2.3333,2
0,5,5,33329.1565,2.7105,2
2,5,3,33329.1565,2.575,2
3,5,2,40114.9966,2.26,2
0,7,7,40114.9966,2.26,2
0,3,3,38013.2711,2.0755,2
3,5,2,38013.2711,1.9298,2
5,3,2,34636.059,2.4419,2
5,5,0,33329.1565,2.1458,2
7,5,2,35968.0943,2.14,2
7,3,4,36643.5367,2.0377,2
5,10,5,43743.5361,3.1053,2
7,10,3,43005.2618,3.5455,2
5,10,5,40114.9966,3.2286,2
5,10,5,40114.9966,3.5313,2
3,5,2,43743.5361,2.6222,2
5,5,0,40114.9966,2.825,2
5,5,0,38013.2711,2.75,2
3,5,2,38013.2711,2.8947,2
5,5,0,33329.1565,2.1458,2
5,7,2,39408.1382,2.24,2
3,5,2,34636.059,2.0192,2
3,5,2,34636.059,2.1,2
2,5,3,35968.0943,1.9455,2
3,3,0,36643.5367,2.0769,2
3,2,1,33329.1565,2.06,2
2,0,2,31415.9265,2.0833,2
5,8,3,43743.5361,3.5758,2
7,7,0,43005.2618,3.6563,2
5,5,0,41547.5628,3.5938,2
7,8,1,43005.2618,3.5455,2
7,7,0,41547.5628,3.5938,2
8,7,1,41547.5628,3.5938,2
2,7,5,43005.2618,3.6563,2
1,6,5,38013.2711,3.9286,2
5,3,2,36643.5367,2.2979,2
7,5,2,38013.2711,2.5581,2
5,5,0,38013.2711,2.2917,2
8,3,5,35968.0943,2.2292,2
8,3,5,34636.059,2.3333,2
5,2,3,34636.059,2.4419,2
3,2,1,34636.059,2.1,2
5,3,2,32685.13,2.3721,2
3,5,2,38013.2711,3.1429,2
3,3,0,40114.9966,2.9737,2
3,5,2,38013.2711,2.75,2
0,3,3,39408.1382,3.2,2
3,2,1,34636.059,3.2813,2
0,2,2,34636.059,3.1818,2
2,2,0,35968.0943,2.5476,2
2,2,0,35968.0943,2.5476,2
7,7,0,41547.5628,2.2115,2
8,3,5,41547.5628,2.4468,2
7,3,4,39408.1382,2.6667,2
8,8,0,39408.1382,2.6047,2
7,5,2,41547.5628,2.1698,2
10,3,7,39408.1382,2.3333,2
10,7,3,43005.2618,2.4375,2
7,3,4,39408.1382,2.6047,2
2,7,5,38013.2711,2.2917,3
2,8,6,36643.5367,2.5116,3
3,8,5,38013.2711,2.5581,3
2,7,5,36643.5367,2.5714,3
5,3,2,35968.0943,2.5476,3
7,5,2,36643.5367,2.9189,3
3,5,2,36643.5367,2.9189,3
3,7,4,41547.5628,3.1081,3
2,3,1,40114.9966,3.7667,3
5,5,0,36643.5367,3.6,3
2,3,1,39408.1382,4,3
5,3,2,36643.5367,3.6,3
2,2,0,40114.9966,3.5313,3
3,0,3,39408.1382,3.5,3
2,3,1,39408.1382,3.2,3
0,0,0,34636.059,3.2813,3
3,7,4,40114.9966,3.5313,3
2,8,6,43743.5361,3.5758,3
3,7,4,40114.9966,2.9737,3
3,5,2,36643.5367,3.2727,3
3,5,2,39408.1382,3.5,3
2,7,5,43005.2618,4.3333,3
5,3,2,36643.5367,2.7,3
2,5,3,39408.1382,3.2,3
3,2,1,38013.2711,3.1429,3
5,0,5,39408.1382,3.027,3
2,2,0,36643.5367,3.0857,3
7,2,5,41547.5628,3.4848,3
7,2,5,43005.2618,2.925,3
7,0,7,40114.9966,3.0541,3
6,0,6,36643.5367,3.0857,3
5,2,3,35968.0943,3.3438,3
